date;w00;w03;w06;w09;w12;w15;w18;w21;;;;;;;;;t00;t03;t06;t09;t12;t15;t18;t21;r00;r03;r06;r09;r12;r15;r18;r21;с00;с03;с06;с09;с12;с15;с18;с21
01.06.2010;2;2;3;5;5;4;3;3;;;;;;;;;10;10;16;22;23;20;16;14;;;;;;1.3;0.8;;28;59;41;97;93;100;100;55
02.06.2010;3;2;2;2;3;3;3;3;;;;;;;;;14;11;16;22;24;24;20;17;;;;;;;;0.4;97;;;48;34;100;100;100
03.06.2010;2;3;3;5;2;4;3;3;;;;;;;;;16;16;18;23;18;22;21;18;;;;0.3;0.4;;;;100;100;100;98;100;75;48;89
04.06.2010;3;2;3;4;4;2;1;2;;;;;;;;;17;16;21;27;30;29;25;18;;;;;;;;;78;60;51;72;85;32;35;59
05.06.2010;2;2;3;4;5;6;2;4;;;;;;;;;17;18;23;31;34;33;25;23;;;;;;;;;67;48;36;63;76;95;98;71
06.06.2010;6;4;5;7;7;6;4;2;;;;;;;;;26;24;23;29;27;26;21;16;;;0.7;;;;;;57;41;66;65;49;83;49;64
07.06.2010;3;4;5;4;3;3;2;3;;;;;;;;;16;13;15;17;20;20;17;11;0.4;;;;;;;;89;10;14;;;5;12;41
08.06.2010;2;2;1;3;4;4;4;3;;;;;;;;;8;7;15;19;23;24;21;15;;;;;;;;;;95;71;11;31;46;32;
09.06.2010;3;2;1;1;2;2;2;4;;;;;;;;;13;10;15;22;24;23;21;20;;;;;;;;;15;;;44;19;71;92;21
10.06.2010;4;3;4;6;6;4;4;1;;;;;;;;;19;17;21;25;20;17;15;9;;;;;;;;;37;32;20;93;100;14;20;23
11.06.2010;2;2;2;2;3;3;3;2;;;;;;;;;9;7;12;16;18;18;15;7;;;;;;;;;10;60;76;29;24;;7;
12.06.2010;2;3;4;4;4;3;2;3;;;;;;;;;5;7;14;19;20;21;18;16;;;;;;;;1.5;;10;;92;87;100;100;100
13.06.2010;4;6;6;8;7;5;3;3;;;;;;;;;16;14;18;27;29;29;27;21;;;1.7;;;;;;100;54;98;23;21;;;31
14.06.2010;3;4;5;6;7;4;3;2;;;;;;;;;20;20;26;33;34;32;25;20;;;;;;3.8;0.7;0.9;;;14;61;46;81;73;98
15.06.2010;2;1;1;1;1;1;1;2;;;;;;;;;18;17;19;27;27;26;24;20;2.4;;;;;;;;97;67;97;78;67;78;81;99
16.06.2010;2;1;2;1;3;2;4;3;;;;;;;;;19;18;18;20;25;29;24;22;;;;;;;;;99;100;100;48;87;78;47;60
17.06.2010;3;2;2;2;3;3;2;3;;;;;;;;;21;19;24;29;33;34;27;25;;;;;;;;;93;13;23;;;69;49;89
18.06.2010;2;3;2;3;3;2;4;3;;;;;;;;;23;21;20;28;28;28;25;20;;;0.7;;;;;;54;87;97;63;37;89;79;96
19.06.2010;3;2;3;1;1;2;2;5;;;;;;;;;18;15;17;22;24;23;20;16;;;;;;;;;99;97;94;95;98;87;79;54
20.06.2010;3;2;3;5;5;4;3;3;;;;;;;;;12;11;13;16;15;19;18;15;;;;;;;;;28;72;93;88;90;84;91;34
21.06.2010;3;3;5;5;5;4;2;2;;;;;;;;;13;11;15;18;21;22;20;12;;;;;;;;;62;;;;;;;
22.06.2010;2;3;3;4;3;2;2;1;;;;;;;;;11;11;18;22;25;25;23;12;;;;;;;;;;52;38;47;73;5;41;
23.06.2010;1;2;2;2;2;1;1;2;;;;;;;;;11;14;21;27;29;29;25;16;;;;;;;;;;;;;;;;
24.06.2010;1;2;2;3;3;4;3;3;;;;;;;;;14;14;22;29;31;31;28;21;;;;;;;;;;12;10;;;;;17
25.06.2010;3;3;2;3;3;2;1;2;;;;;;;;;18;17;21;28;30;29;26;20;;;;;;;;;;96;94;64;59;86;89;57
26.06.2010;2;2;3;3;4;4;2;2;;;;;;;;;16;18;23;28;29;25;24;20;;;;;;;;;35;41;25;95;93;92;91;93
27.06.2010;2;2;2;1;1;2;1;2;;;;;;;;;19;18;22;26;28;27;23;16;;;;;;;;;98;33;49;15;33;;;
28.06.2010;2;2;3;4;4;3;3;4;;;;;;;;;15;14;21;28;31;31;28;22;;;;;;;;;;;;;;;;
29.06.2010;3;2;2;2;3;2;2;2;;;;;;;;;19;17;21;31;33;31;29;20;;;0.7;;;;;0.7;5;37;46;56;37;64;50;65
30.06.2010;2;1;3;2;2;2;3;3;;;;;;;;;19;18;20;25;27;28;21;20;;;;;;;;;56;86;61;82;100;67;73;89
01.07.2010;3;2;3;2;2;3;1;1;;;;;;;;;17;15;17;18;19;22;19;11;;;;;;;;;84;93;89;78;99;32;40;
02.07.2010;1;1;2;1;1;1;1;2;;;;;;;;;9;10;17;24;27;26;22;14;;;;;;;;;;;;;;;;
03.07.2010;1;2;2;4;4;2;2;3;;;;;;;;;11;12;20;26;28;30;25;22;;;;;;;;;;12;7;10;11;59;33;74
04.07.2010;3;2;3;4;4;4;2;2;;;;;;;;;21;18;23;27;30;19;18;17;;;;0.9;;;0.8;6.3;86;25;36;97;94;100;100;99
05.07.2010;2;1;2;2;4;4;3;2;;;;;;;;;17;16;17;22;25;24;20;14;1.3;;3.6;;;;;;97;69;96;10;12;;;
06.07.2010;2;3;4;3;3;3;2;2;;;;;;;;;11;9;14;19;21;22;19;13;;;;;;;;;;;;;;;;
07.07.2010;2;2;2;2;4;3;2;1;;;;;;;;;10;10;17;22;23;23;20;11;;;;;;;;;;;;34;;;;
08.07.2010;1;2;2;3;3;3;2;1;;;;;;;;;10;10;18;23;25;25;22;10;;;;;;;;;;;;;;;;
09.07.2010;2;3;3;3;3;4;2;2;;;;;;;;;12;13;19;26;28;28;22;16;;;;;;;;;;;;;;66;80;93
10.07.2010;2;2;1;1;3;3;2;2;;;;;;;;;15;18;21;23;28;28;23;20;;;;;;;;;89;79;93;58;61;41;88;31
11.07.2010;1;1;1;1;2;2;1;2;;;;;;;;;16;14;23;29;31;31;25;22;;;;;;;;;28;;;26;21;86;52;100
12.07.2010;2;1;1;1;1;2;2;1;;;;;;;;;22;18;17;18;24;23;21;18;;1.2;3.8;0.4;0.6;;0.4;1.1;100;100;100;85;98;90;90;100
13.07.2010;1;1;2;3;4;4;5;5;;;;;;;;;18;17;18;18;18;17;15;14;;2.3;2.7;0.5;1.3;0.4;0.5;1.6;98;100;97;100;100;100;100;100
14.07.2010;6;6;6;6;6;6;7;5;;;;;;;;;13;13;12;13;13;13;13;13;2.6;1;3;9.2;5.4;0.4;0.9;1.1;100;100;100;100;100;100;100;100
