number;name;year;rate
400583;Питер и Венди;2009;0.02123535484864766732
80735;Дурматрица;2005;0.00369922264152818390
489806;Винни Мандела;2011;0.00537557833880883723
9867;Страна теней;1993;1.1746535064475346
4379;Большая кража;2004;0.12978950863386834805
504482;Бесстрашный;2010;0.31403989379570103363
23562;Ловец песен;2000;1.6999078022733418
144897;Исчезновения;2006;0.00500371432212760046
257768;Путевой обходчик;2007;0.16968330100335721972
7115;Сумеречная зона;1983;2.9450919331902150
2905;Флот МакХэйла;1997;0.14523381250143567904
102200;Лезвия славы: Звездуны на льду;2007;2.3814364998506035
471644;Лего. Фильм;2014;7.5529684333333333
661696;Нарковойна;2012;0.00810158389090750305
13895;Горничная на заказ;1987;3.2895074823072957
7137;Возвращение в страну Оз;1985;0.44551202593720358476
576161;Гавана, я люблю тебя;2012;0.13687014415951857008
721;Ничего себе поездочка;2001;0.95543126265906543640
3546;Дом ночных призраков;1999;1.1039481608346519
12284;Жемчужина Нила;1985;3.0389280159036166
8115;Тайна отца Амаро;2002;3.1761356936186503
660754;Проверка стоимости;2012;0.00370622632242544978
8127;Фирма;1993;3.7701992599920120
310749;Вечность;2006;0.18973497445743477217
7227;Город призраков;2002;0.02041121620184452255
4047;Наемные убийцы;1995;0.60606143951790380555
460405;Пикап: Съём без правил;2009;1.1190503697387302
82394;Неверная;2005;0.24625542482546213731
220395;Контроль;2007;1.2988824247686678
3799;Прогулка в облаках;1995;2.5004071767272311
687998;Джимми Пикард;2013;0.00243290000000000000
706420;Джо;2013;0.04972533333333333333
24693;Разборка в Бронксе;1995;4.3189399162841722
309385;Сомнение;2008;2.5453617035553868
10845;Перевал разбитых сердец;1986;2.8482678062799195
397372;Ноториус;2009;2.0241431312622621
445196;Руки-ноги за любовь;2010;0.00015864786102974318
568696;Неприкасаемые;2011;0.00654814315756318431
20104;Джерри;2002;0.07276639709882777102
8026;Демон-любовник;2002;0.03490024428389677638
8114;Настоящие женщины всегда в теле;2002;1.9510649741107442
5613;Сахара;1983;0.05611847985128012336
5197;Миллионы Брюстера;1985;2.0416566029036415
506138;Путь назад;2011;0.04084626542747061398
321845;Кандагар;2009;2.1239448153801861
17311;Главная собака;1995;0.84895114814680249160
193788;Гриффин и Феникс: На краю счастья;2006;0.06808822426833316283
400437;Король Сингх;2008;34.2199760180241218
295065;Тетрадь смерти 3;2008;3.5227275352397114
178155;El inmigrante;2005;0.37749989648461761418
405194;Броненосец;2010;0.00138871790207147153
2337;Шлюха;1995;0.19703219242222222976
683674;Сын Сардара;2012;0.13810662678687200463
263347;Все будет хорошо;2007;2.5404246286740374
4133;Святой;1997;0.90240152805512903044
437503;План Б;2010;2.2136287891794473
5183;Герой – одиночка;1996;0.27038696630372978921
568314;Лучшие друзья и ребенок;2011;0.03323084516746017872
41674;Цель жизни;2004;0.11385891985093179777
426001;Соломенные псы;2011;0.41297761892377013370
12333;Ворон 2: Город ангелов;1996;1.3756660783563345
14501;Хэллоуин 5;1989;2.3284509085340483
22954;Как справиться с отцом;1994;0.62898646790768778931
13328;Солдат;1998;0.24323709941520467836
450470;Страшно красив;2011;1.6391512788006353
894;Части тела;1997;1.4725285368032997
6892;Деревенские медведи;2002;0.48545213730618192564
461939;Линкольн для адвоката;2011;1.4502300241618433
3513;Последний киногерой;1993;0.58842816636250024897
3984;Донни Браско;1997;1.1974217659136766
7640;Двухсотлетний человек;1999;0.58223860348367513472
3532;Приказано уничтожить;1996;1.0285312072960029
567156;Туннель;2011;0.01134133815039138597
105886;Пятнадцатилетняя;2006;4.2317333608893711
23772;Страх перед черной шляпой;1993;0.23382388001473807408
28277;Trois;2000;5.8092272845555869
13700;Игра в прятки;1987;1.0027772406580196
463738;Восстание планеты обезьян;2011;5.1806545561175457
4470;Чокнутый профессор 2: Семья Клампов;2000;1.46797488517580174485
596232;Робот и Фрэнк;2012;1.3300152008891398
78750;Беги без оглядки;2005;0.62527381864761440593
740;Лило и Стич;2002;1.82242921743937417591
6452;Ловкие руки;2002;0.00250314873931607006
13097;Скорость падения;1994;0.32974698066966533697
61333;Сокровище нации;2004;3.4745189553021390
5851;Среди гигантов;1998;0.01587378233654146727
8124;Один дома;1990;15.8756249878018364
424301;Мой парень из зоопарка;2011;2.1231594962198004
5133;Отец невесты 2;1995;2.5531369273187312
18368;Перед рассветом;1995;2.2141619840959247
81744;Морские черепахи;2005;0.23062730321725808455
470553;Прислуга;2011;6.7883246461216747
2529;Герой;1992;0.46446059195395889855
404263;Ночь с Бет Купер;2009;0.87899483043368100364
478706;Ганц;2010;1.7677272902635671
261635;Большая игра;2009;1.4635395136305500
3491;Ван Хельсинг;2004;1.8759852396934798
261696;Полет красного надувного шарика;2007;0.11230086921421803218
9923;Ночь живых мертвецов;1990;1.3893445797276165
4338;Хуже не бывает;2002;0.00114282876597345456
4473;И грянул гром;2005;0.02375562980822033518
467086;Игры киллеров;2011;0.01559673978505112405
